
Motivation_lines,Quotes_category,Images_src
"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",EXPLORING,https://assets.passiton.com/quotes/quote_artwork/8293/medium/20230116_monday_quote.jpg
Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world. ,KINDNESS,https://assets.passiton.com/quotes/quote_artwork/6382/medium/20230113_friday_quote.jpg
One kind word can warm three winter months.,KINDNESS,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20230112_thursday_quote.jpg
"You can be rich in spirit, kindness, love and all those things that you can't put a dollar sign on.",KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8368/medium/20230111_wednesday_quote.jpg
"Do things for people not because of who they are or what they do in return, but because of who you are.",KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8168/medium/20230110_tuesday_quote.jpg
"Ah, kindness. What a simple way to tell another struggling soul that there is love to be found in the world.",KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8269/medium/20230109_monday_quote.jpg
"One of the greatest things you can do to help others is not just to share and give what you have, but to help them discover what they have within themselves to help themselves.",HELPING OTHERS,https://assets.passiton.com/quotes/quote_artwork/7628/medium/20220106_friday_quote.jpg
Believe that there's light at the end of the tunnel. Believe that you might be that light for someone else.,HELPING OTHERS,https://assets.passiton.com/quotes/quote_artwork/6255/medium/20220105_thursday_quote.jpg
"Great opportunities to help others seldom come, but small ones surround us every day.",HELPING OTHERS,https://assets.passiton.com/quotes/quote_artwork/3700/medium/20220104_wednesday_quote.jpg
"If you get, give. If you learn, teach.",HELPING OTHERS,https://assets.passiton.com/quotes/quote_artwork/8020/medium/20220103_tuesday_quote.jpg
"When I was a boy and I would see scary things in the news, my mother would say to me, ‘Look for the helpers. You will always find people who are helping.’",HELPING OTHERS,https://assets.passiton.com/quotes/quote_artwork/8056/medium/20220102_monday_quote.jpg
"If the world seems cold to you, kindle fires to warm it.",OPTIMISM,https://assets.passiton.com/quotes/quote_artwork/4995/medium/20221230_friday_quote_happy_new_year.jpg
The future belongs to those who believe in the beauty of their dreams.,OPTIMISM,https://assets.passiton.com/quotes/quote_artwork/3998/medium/20221229_thursday_quote.jpg
"If we had no winter, the spring would not be so pleasant; if we did not sometimes taste of adversity, prosperity would not be so welcome.",OPTIMISM,https://assets.passiton.com/quotes/quote_artwork/6905/medium/20221228_wednesday_quote.jpg
"Become a possibilitarian. No matter how dark things seem to be or actually are, raise your sights and see possibilities—always see them, for they’re always there.",OPTIMISM,https://assets.passiton.com/quotes/quote_artwork/6732/medium/20221227_tuesday_quote.jpg
"Love is better than anger. Hope is better than fear. Optimism is better than despair. So let us be loving, hopeful and optimistic. And we’ll change the world.",OPTIMISM,https://assets.passiton.com/quotes/quote_artwork/7377/medium/20221226_monday_quote.jpg
Do all the good you can. By all the means you can. In all the ways you can. In all the places you can. At all the times you can. To all the people you can. As long as ever you can.,GIVING,https://assets.passiton.com/quotes/quote_artwork/7155/medium/20221223_friday_quote_happy_holidays.jpg
No one has ever become poor by giving.,GIVING,https://assets.passiton.com/quotes/quote_artwork/7159/medium/20221222_thursday_quote.jpg
"Wherever there is a human in need, there is an opportunity for kindness and to make a difference.",GIVING,https://assets.passiton.com/quotes/quote_artwork/4692/medium/20221221_wednesday_quote.jpg
"From what we get, we can make a living; what we give, however, makes a life.",GIVING,https://assets.passiton.com/quotes/quote_artwork/3059/medium/20221220_tuesday_quote.jpg
"The heart that gives, gathers.",GIVING,https://assets.passiton.com/quotes/quote_artwork/7157/medium/20221219_monday_quote.jpg
"Touch the earth, speak of love, walk on common ground.",COMMON GROUND,https://assets.passiton.com/quotes/quote_artwork/7560/medium/20221216_friday_quote.jpg
We all live with the objective of being happy; our lives are all different and yet the same.,COMMON GROUND,https://assets.passiton.com/quotes/quote_artwork/3463/medium/20221215_thursday_quote.jpg
We can find common ground only by moving to higher ground.,COMMON GROUND,https://assets.passiton.com/quotes/quote_artwork/7619/medium/20221214_wednesday_quote.jpg
Our similarities bring us to a common ground; our differences allow us to be fascinated by each other.,COMMON GROUND,https://assets.passiton.com/quotes/quote_artwork/4406/medium/20221213_tuesday_quote.jpg
We can learn to see each other and see ourselves in each other and recognize that human beings are more alike than we are unalike.,COMMON GROUND,https://assets.passiton.com/quotes/quote_artwork/7337/medium/20221212_monday_quote.jpg
Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope.,HOPE,https://assets.passiton.com/quotes/quote_artwork/6731/medium/20221209_friday_quote.jpg
"It's not enough to have lived. We should be determined to live for something. May I suggest that it be creating joy for others, sharing what we have for the betterment of personkind, bringing hope to the lost and love to the lonely.",HOPE,https://assets.passiton.com/quotes/quote_artwork/7027/medium/20221208_thursday_quote.jpg
"Hope sees the invisible, feels the intangible, and achieves the impossible.",HOPE,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20221207_wednesday_quote.jpg
Hope is the thing with feathers that perches in the soul and sings the tunes without the words and never stops at all.,HOPE,https://assets.passiton.com/quotes/quote_artwork/3313/medium/20221205_monday_quote.jpg
It is often in the darkest skies that we see the brightest stars.,HOPE,https://assets.passiton.com/quotes/quote_artwork/7176/medium/20221206_tuesday_quote.jpg
"Accomplishments will prove to be a journey, not a destination.",ACHIEVEMENT,https://assets.passiton.com/quotes/quote_artwork/6715/medium/20221202_friday_quote.jpg
"Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement. ",ACHIEVEMENT,https://assets.passiton.com/quotes/quote_artwork/7617/medium/20221201_thursday_quote.jpg
